title,iri,year
A Touch of Spice,http://www.wikidata.org/entity/Q59687,2003
A Touch of Spice,http://www.wikidata.org/entity/Q59687,2005
Anatomy of Hell,http://www.wikidata.org/entity/Q59531,2004
Argo,http://www.wikidata.org/entity/Q59653,2012
Arsenic and Old Lace,http://www.wikidata.org/entity/Q59317,1944
Barbara Frietchie,http://www.wikidata.org/entity/Q59391,1924
Cabaret Balkan,http://www.wikidata.org/entity/Q60021,1998
"Elisa, vida mía",http://www.wikidata.org/entity/Q59612,1977
Endangered Species,http://www.wikidata.org/entity/Q59408,2002
Fat Girl,http://www.wikidata.org/entity/Q59503,2001
Garden State,http://www.wikidata.org/entity/Q59931,2004
Garden State,http://www.wikidata.org/entity/Q59931,2005
Hachi: A Dog's Tale,http://www.wikidata.org/entity/Q59249,2009
Hachi: A Dog's Tale,http://www.wikidata.org/entity/Q59249,2010
Heading South,http://www.wikidata.org/entity/Q59426,2005
Heading South,http://www.wikidata.org/entity/Q59426,2006
In the Cut,http://www.wikidata.org/entity/Q59572,2003
In the Cut,http://www.wikidata.org/entity/Q59572,2004
Johnny Guitar,http://www.wikidata.org/entity/Q59318,1954
Kiss the Girls,http://www.wikidata.org/entity/Q60016,1998
Let's Dance,http://www.wikidata.org/entity/Q60464,1950
Luna Park,http://www.wikidata.org/entity/Q59789,1992
Luna Park,http://www.wikidata.org/entity/Q59789,1993
Mr. Deeds,http://www.wikidata.org/entity/Q59595,2002
Not Here to Be Loved,http://www.wikidata.org/entity/Q59634,2005
Not Here to Be Loved,http://www.wikidata.org/entity/Q59634,2006
Planet of the Apes,http://www.wikidata.org/entity/Q59534,1968
Russian Ark,http://www.wikidata.org/entity/Q59721,2002
Russian Ark,http://www.wikidata.org/entity/Q59721,2003
Salsa,http://www.wikidata.org/entity/Q59660,2000
Secret Things,http://www.wikidata.org/entity/Q59722,2002
Secret Things,http://www.wikidata.org/entity/Q59722,2003
Seven Psychopaths,http://www.wikidata.org/entity/Q59610,2012
Sex Is Comedy,http://www.wikidata.org/entity/Q59423,2002
Small Cuts,http://www.wikidata.org/entity/Q59502,2003
Son of the Bride,http://www.wikidata.org/entity/Q59543,2001
Son of the Bride,http://www.wikidata.org/entity/Q59543,2002
Stash House,http://www.wikidata.org/entity/Q59498,2012
Tell No One,http://www.wikidata.org/entity/Q59567,2006
The Escort,http://www.wikidata.org/entity/Q59501,1999
The Mortal Instruments: City of Bones,http://www.wikidata.org/entity/Q59346,2013
The Pleasure Is All Mine,http://www.wikidata.org/entity/Q59530,2004
The Puppet Masters,http://www.wikidata.org/entity/Q60362,1994
The Puppet Masters,http://www.wikidata.org/entity/Q60362,1995
The Sound of Music,http://www.wikidata.org/entity/Q60072,1965
The Twilight Saga: Breaking Dawn – Part 1,http://www.wikidata.org/entity/Q60506,2011
The Twilight Saga: Breaking Dawn – Part 2,http://www.wikidata.org/entity/Q60487,2012
The Upside of Anger,http://www.wikidata.org/entity/Q59566,2005
The Weather Man,http://www.wikidata.org/entity/Q60296,2005
The Weather Man,http://www.wikidata.org/entity/Q60296,2006
Three Seasons,http://www.wikidata.org/entity/Q59438,1999
Three Seasons,http://www.wikidata.org/entity/Q59438,2000
Three Seasons,http://www.wikidata.org/entity/Q59438,2001
Two Weeks in Another Town,http://www.wikidata.org/entity/Q59240,1962
Varudu,http://www.wikidata.org/entity/Q59495,2010
Wheels on Meals,http://www.wikidata.org/entity/Q60792,1984
